Date,Price,Open,High,Low,Vol.,Change %
12/31/2025,3.1841,3.1788,3.1956,3.1627,,0.13%
12/30/2025,3.18,3.1856,3.1965,3.171,,-0.12%
12/29/2025,3.1839,3.1831,3.2075,3.1745,,-0.32%
12/26/2025,3.1942,3.1909,3.2021,3.187,,0.29%
12/25/2025,3.185,3.191,3.1985,3.1849,,-0.10%
12/24/2025,3.1882,3.1876,3.1948,3.1775,,-0.02%
12/23/2025,3.1887,3.1996,3.2095,3.1814,,-0.58%
12/22/2025,3.2074,3.2016,3.2209,3.1931,,0.12%
12/19/2025,3.2034,3.2126,3.2236,3.1881,,-0.31%
12/18/2025,3.2133,3.2362,3.2438,3.202,,-0.84%
12/17/2025,3.2404,3.2297,3.2435,3.2169,,0.33%
12/16/2025,3.2297,3.2099,3.2331,3.206,,0.61%
12/15/2025,3.2101,3.2083,3.2291,3.1997,,-0.27%
12/12/2025,3.2189,3.2033,3.232,3.1896,,0.48%
12/11/2025,3.2034,3.2217,3.2403,3.2002,,-0.57%
12/10/2025,3.2219,3.2293,3.2449,3.2161,,-0.23%
12/9/2025,3.2294,3.2222,3.2334,3.2085,,0.23%
12/8/2025,3.2221,3.2328,3.2404,3.199,,-0.60%
12/5/2025,3.2417,3.2412,3.2497,3.2218,,0.06%
12/4/2025,3.2399,3.2321,3.2453,3.2279,,0.28%
12/3/2025,3.231,3.2533,3.2569,3.2219,,-0.71%
12/2/2025,3.254,3.2668,3.2729,3.2488,,-0.39%
12/1/2025,3.2667,3.2544,3.2778,3.251,,0.24%
11/28/2025,3.259,3.267,3.278,3.2519,,-0.24%
11/27/2025,3.2667,3.2661,3.2853,3.2626,,0.00%
11/26/2025,3.2668,3.2782,3.288,3.2658,,-0.34%
11/25/2025,3.2781,3.2599,3.3003,3.2522,,0.53%
11/24/2025,3.2607,3.2824,3.2904,3.2567,,-0.31%
11/21/2025,3.2707,3.2873,3.3036,3.2644,,-0.47%
11/20/2025,3.286,3.2647,3.2892,3.242,,0.66%
11/19/2025,3.2646,3.2762,3.286,3.2526,,-0.38%
11/18/2025,3.277,3.2562,3.2901,3.2485,,0.66%
11/17/2025,3.2554,3.2255,3.2672,3.2185,,0.70%
11/14/2025,3.2329,3.2253,3.2496,3.22,,0.23%
11/13/2025,3.2256,3.1957,3.2298,3.1858,,0.87%
11/12/2025,3.1977,3.2228,3.2246,3.1918,,-0.78%
11/11/2025,3.223,3.2287,3.2347,3.2107,,-0.08%
11/10/2025,3.2255,3.249,3.2573,3.221,,-0.59%
11/7/2025,3.2445,3.2625,3.2691,3.2416,,-0.53%
11/6/2025,3.2617,3.2554,3.2762,3.2466,,0.19%
11/5/2025,3.2554,3.2778,3.2885,3.2515,,-0.66%
11/4/2025,3.277,3.2534,3.2828,3.2509,,0.79%
11/3/2025,3.2514,3.2566,3.2654,3.2476,,-0.21%
10/31/2025,3.2584,3.2524,3.266,3.2371,,0.12%
10/30/2025,3.2545,3.2547,3.2648,3.242,,-0.18%
